name,version,type,purl,licenses
"fs.realpath","1.0.0","library","pkg:npm/fs.realpath@1.0.0","ISC"
"function-bind","1.1.1","library","pkg:npm/function-bind@1.1.1","MIT"
"gauge","3.0.2","library","pkg:npm/gauge@3.0.2","ISC"
"gaxios","6.7.1","library","pkg:npm/gaxios@6.7.1","Apache-2.0"
"gcp-metadata","6.1.0","library","pkg:npm/gcp-metadata@6.1.0","Apache-2.0"
"get-caller-file","2.0.5","library","pkg:npm/get-caller-file@2.0.5","ISC"
"glob","7.2.3","library","pkg:npm/glob@7.2.3","ISC"
"glob","7.2.3","library","pkg:npm/glob@7.2.3","ISC"
"google-auth-library","9.14.1","library","pkg:npm/google-auth-library@9.14.1","Apache-2.0"
"google-gax","4.4.1","library","pkg:npm/google-gax@4.4.1","Apache-2.0"
"graceful-fs","4.2.10","library","pkg:npm/graceful-fs@4.2.10","ISC"
"gtoken","7.1.0","library","pkg:npm/gtoken@7.1.0","MIT"
"has","1.0.3","library","pkg:npm/has@1.0.3","MIT"
"has-unicode","2.0.1","library","pkg:npm/has-unicode@2.0.1","ISC"
"html-entities","2.5.2","library","pkg:npm/html-entities@2.5.2","MIT"
"http-proxy-agent","5.0.0","library","pkg:npm/http-proxy-agent@5.0.0","MIT"
"https-proxy-agent","5.0.1","library","pkg:npm/https-proxy-agent@5.0.1","MIT"
"https-proxy-agent","7.0.5","library","pkg:npm/https-proxy-agent@7.0.5","MIT"
"icu-data-en","74.2-r0","library","pkg:apk/alpine/icu-data-en@74.2-r0?arch=x86_64&distro=alpine-3.20.3&upstream=icu","ICU"
"icu-libs","74.2-r0","library","pkg:apk/alpine/icu-libs@74.2-r0?arch=x86_64&distro=alpine-3.20.3&upstream=icu","ICU"
"import-in-the-middle","1.8.1","library","pkg:npm/import-in-the-middle@1.8.1","Apache-2.0"
"inflight","1.0.6","library","pkg:npm/inflight@1.0.6","ISC"
"inflight","1.0.6","library","pkg:npm/inflight@1.0.6","ISC"
"inherits","2.0.4","library","pkg:npm/inherits@2.0.4","ISC"
"inherits","2.0.4","library","pkg:npm/inherits@2.0.4","ISC"
"invalid_main","UNKNOWN","library","pkg:npm/invalid_main",""
"is-core-module","2.13.0","library","pkg:npm/is-core-module@2.13.0","MIT"
"is-fullwidth-code-point","3.0.0","library","pkg:npm/is-fullwidth-code-point@3.0.0","MIT"
"is-obj","2.0.0","library","pkg:npm/is-obj@2.0.0","MIT"
"is-stream","2.0.1","library","pkg:npm/is-stream@2.0.1","MIT"
"js2xmlparser","4.0.2","library","pkg:npm/js2xmlparser@4.0.2","Apache-2.0"
"jsdoc","3.6.11","library","pkg:npm/jsdoc@3.6.11","Apache-2.0"
"json-bigint","1.0.0","library","pkg:npm/json-bigint@1.0.0","MIT"
"jwa","2.0.0","library","pkg:npm/jwa@2.0.0","MIT"
"jws","4.0.0","library","pkg:npm/jws@4.0.0","MIT"
"klaw","3.0.0","library","pkg:npm/klaw@3.0.0","MIT"
"libbase64","0.5.2-r0","library","pkg:apk/alpine/libbase64@0.5.2-r0?arch=x86_64&distro=alpine-3.20.3&upstream=base64","BSD-2-Clause"
"libcrypto3","3.3.2-r0","library","pkg:apk/alpine/libcrypto3@3.3.2-r0?arch=x86_64&distro=alpine-3.20.3&upstream=openssl","Apache-2.0"
"libgcc","13.2.1_git20240309-r1","library","pkg:apk/alpine/libgcc@13.2.1_git20240309-r1?arch=x86_64&distro=alpine-3.20.3&upstream=gcc",""
"libssl3","3.3.2-r0","library","pkg:apk/alpine/libssl3@3.3.2-r0?arch=x86_64&distro=alpine-3.20.3&upstream=openssl","Apache-2.0"
"libstdc++","13.2.1_git20240309-r1","library","pkg:apk/alpine/libstdc%2B%2B@13.2.1_git20240309-r1?arch=x86_64&distro=alpine-3.20.3&upstream=gcc",""
"linkify-it","3.0.3","library","pkg:npm/linkify-it@3.0.3","MIT"
"lodash","4.17.21","library","pkg:npm/lodash@4.17.21","MIT"
"lodash.camelcase","4.3.0","library","pkg:npm/lodash.camelcase@4.3.0","MIT"
"lodash.merge","4.6.2","library","pkg:npm/lodash.merge@4.6.2","MIT"
"lodash.sortby","4.7.0","library","pkg:npm/lodash.sortby@4.7.0","MIT"
"long","4.0.0","library","pkg:npm/long@4.0.0","Apache-2.0"
"long","5.2.3","library","pkg:npm/long@5.2.3","Apache-2.0"
"long","5.2.3","library","pkg:npm/long@5.2.3","Apache-2.0"
"long","5.2.3","library","pkg:npm/long@5.2.3","Apache-2.0"
"lru-cache","6.0.0","library","pkg:npm/lru-cache@6.0.0","ISC"
"make-dir","3.1.0","library","pkg:npm/make-dir@3.1.0","MIT"
"markdown-it","12.3.2","library","pkg:npm/markdown-it@12.3.2","MIT"
"markdown-it-anchor","8.6.4","library","pkg:npm/markdown-it-anchor@8.6.4","Unlicense"
"marked","4.0.19","library","pkg:npm/marked@4.0.19","MIT"
"mdurl","1.0.1","library","pkg:npm/mdurl@1.0.1","MIT"
"mime-db","1.52.0","library","pkg:npm/mime-db@1.52.0","MIT"
"mime-types","2.1.35","library","pkg:npm/mime-types@2.1.35","MIT"
"minimatch","3.1.2","library","pkg:npm/minimatch@3.1.2","ISC"
"minimatch","3.1.2","library","pkg:npm/minimatch@3.1.2","ISC"
"minipass","3.3.6","library","pkg:npm/minipass@3.3.6","ISC"
"minizlib","2.1.2","library","pkg:npm/minizlib@2.1.2","MIT"
"mkdirp","1.0.4","library","pkg:npm/mkdirp@1.0.4","MIT"
"mkdirp","1.0.4","library","pkg:npm/mkdirp@1.0.4","MIT"
"module-details-from-path","1.0.3","library","pkg:npm/module-details-from-path@1.0.3","MIT"
"monorepo-symlink-test","0.0.0","library","pkg:npm/monorepo-symlink-test@0.0.0","MIT"
"ms","2.1.2","library","pkg:npm/ms@2.1.2","MIT"
"musl","1.2.5-r0","library","pkg:apk/alpine/musl@1.2.5-r0?arch=x86_64&distro=alpine-3.20.3","MIT"
"musl-utils","1.2.5-r0","library","pkg:apk/alpine/musl-utils@1.2.5-r0?arch=x86_64&distro=alpine-3.20.3&upstream=musl",""
"mylib","0.0.0","library","pkg:npm/mylib@0.0.0","ISC"
"nan","2.17.0","library","pkg:npm/nan@2.17.0","MIT"
"nghttp2-libs","1.62.1-r0","library","pkg:apk/alpine/nghttp2-libs@1.62.1-r0?arch=x86_64&distro=alpine-3.20.3&upstream=nghttp2","MIT"
"node-fetch","2.7.0","library","pkg:npm/node-fetch@2.7.0","MIT"
